,maker_num,model_num,detail_num,cost,exchange
389,1,1,2,612539,"Bumper:coating,exchange"
390,1,29,29,323154,"Front bumper:exchange,coating"
391,1,22,23,270558,"Front bumper:exchange,coating"
392,97,150,152,203309,"Rear bumper:coating,exchange"
393,1,8,34,379484,"Rear bumper:coating,exchange"
394,1,14,35,697199,"Bumper:coating,exchange"
395,1,14,38,201318,"Front bumper:exchange,coating"
396,1,13,42,391568,"Front bumper:exchange,coating"
397,1,30,30,587486,"Rear bumper:coating,exchange"
398,1,1,2,404719,"Bumper:coating,exchange"
399,1,14,35,300759,"Rear bumper:coating,exchange"
400,1,15,15,603178,"Rear bumper:coating,exchange"
401,1,15,40,288788,"Front bumper:exchange,coating"
402,97,105,130,369249,"Rear bumper:coating,exchange"
403,1,1,2,317039,"Rear bumper:coating,exchange"
404,1,1,2,317039,"Rear bumper:coating,exchange"
405,1,30,30,446929,Front bumper:exchange;Bumper:coating
406,1,4,5,300088,"Front bumper:exchange,coating"
407,1,22,22,276108,"Rear bumper:coating,exchange"
408,1,30,30,349719,Front bumper:exchange;Bumper:coating
409,1,15,40,339058,"Front bumper:exchange,coating"
410,1,13,42,331132,"Front bumper:exchange,coating"
411,1,8,34,333669,Front bumper:exchange;Bumper:coating
412,1,13,42,796098,"Rear bumper:coating,exchange"
413,1,14,35,403529,"Bumper:coating,exchange"
414,1,4,6,317278,"Rear bumper:coating,exchange"
415,1,14,35,294119,"Rear bumper:coating,exchange"
416,1,13,42,772969,"Rear bumper:coating,exchange"
417,1,4,5,338949,Front bumper:exchange;Bumper:coating
418,1,22,22,23240,Side mirror:exchange
419,1,13,42,1005029,"Rear bumper:coating,exchange"
420,1,4,6,317278,"Rear bumper:coating,exchange"
421,1,4,5,353769,"Front bumper:exchange,coating"
422,1,1,3,410399,"Rear bumper:coating,exchange"
423,1,30,30,552110,"Rear bumper:coating,exchange"
424,1,10,12,355169,"Bumper:coating,exchange"
425,1,8,34,557789,Front bumper:exchange;Bumper:coating
426,1,1,2,350869,"Rear bumper:coating,exchange"
427,1,13,42,963959,"Rear bumper:coating,exchange"
428,1,9,9,384229,"Bumper:coating,exchange"
429,1,25,26,427463,"Front bumper:exchange,coating"
430,1,25,26,292288,"Rear bumper:coating,exchange"
431,1,15,39,642798,"Rear bumper:coating,exchange"
432,97,155,155,302978,"Rear bumper:coating,exchange"
433,1,8,8,212818,"Front bumper:exchange,coating"
434,1,25,25,301008,"Front bumper:exchange,coating"
435,1,14,35,231018,"Front bumper:exchange,coating"
436,97,118,118,290888,"Front bumper:exchange,coating"
437,81,96,96,191648,"Rear bumper:coating,exchange"
438,97,114,114,276728,"Rear bumper:coating,exchange"
