,maker,model,detail,category_id,cnt,cost_total,repair,exchange,repaired
1892,기아,쏘렌토,올뉴쏘렌토,as-0086309,50904.0,236877.0,"Front bumper:repair;Bumper:coating,exchange","Front bumper:repair;Bumper:coating,exchange",
1893,기아,쏘렌토,올뉴쏘렌토,as-0086501,51013.0,288509.0,"Bumper:coating,exchange","Bumper:coating,exchange",
1894,기아,쏘렌토,올뉴쏘렌토,as-0093293,53985.0,302224.0,"Front bumper:repair,coating",,"Front bumper:repair,coating"
1895,기아,쏘렌토,올뉴쏘렌토,as-0094055,54320.0,425225.0,"Front bumper:repair,coating",,"Front bumper:repair,coating"
1896,기아,쏘렌토,올뉴쏘렌토,as-0094283,54413.0,619919.0,"Bumper:coating,exchange","Bumper:coating,exchange",
1897,기아,쏘렌토,올뉴쏘렌토,as-0094548,54533.0,421442.0,Front bumper:repair;Bumper:coating,,Front bumper:repair;Bumper:coating
1898,기아,쏘렌토,올뉴쏘렌토,as-0094825,54655.0,336959.0,"Bumper:coating,exchange","Bumper:coating,exchange",
1899,기아,쏘렌토,올뉴쏘렌토,as-0099017,56530.0,715077.0,"Front bumper:repair;Bumper:coating,exchange","Front bumper:repair;Bumper:coating,exchange",
1900,기아,쏘렌토,올뉴쏘렌토,as-0099017,36530.0,715077.0,"Front bumper:repair;Bumper:coating,exchange","Front bumper:repair;Bumper:coating,exchange",
1901,기아,쏘렌토,올뉴쏘렌토,as-0094825,34655.0,336959.0,"Bumper:coating,exchange","Bumper:coating,exchange",
1902,기아,쏘렌토,올뉴쏘렌토,as-0094548,34533.0,421442.0,Front bumper:repair;Bumper:coating,,Front bumper:repair;Bumper:coating
1903,기아,쏘렌토,올뉴쏘렌토,as-0094283,34413.0,619919.0,"Bumper:coating,exchange","Bumper:coating,exchange",
1904,기아,쏘렌토,올뉴쏘렌토,as-0094055,34320.0,425225.0,"Front bumper:repair,coating",,"Front bumper:repair,coating"
1905,기아,쏘렌토,올뉴쏘렌토,as-0093293,33985.0,302224.0,"Front bumper:repair,coating",,"Front bumper:repair,coating"
1906,기아,쏘렌토,올뉴쏘렌토,as-0086501,31013.0,288509.0,"Bumper:coating,exchange","Bumper:coating,exchange",
1907,기아,쏘렌토,올뉴쏘렌토,as-0086309,30904.0,236877.0,"Front bumper:repair;Bumper:coating,exchange","Front bumper:repair;Bumper:coating,exchange",
1908,기아,쏘렌토,올뉴쏘렌토,as-0086296,30897.0,825967.0,"Front bumper:repair;Bumper:coating,exchange","Front bumper:repair;Bumper:coating,exchange",
1909,기아,쏘렌토,올뉴쏘렌토,as-0086031,30739.0,236759.0,"Bumper:coating,exchange","Bumper:coating,exchange",
1910,기아,쏘렌토,올뉴쏘렌토,as-0085545,30504.0,281816.0,"Front bumper:repair,coating",,"Front bumper:repair,coating"
1911,기아,쏘렌토,올뉴쏘렌토,as-0085200,30331.0,257118.0,"Front bumper:sheet_metal,exchange,coating","Front bumper:sheet_metal,exchange,coating",
1912,기아,쏘렌토,올뉴쏘렌토,as-0084666,30080.0,470996.0,"Front bumper:repair,coating",,"Front bumper:repair,coating"
1913,기아,쏘렌토,올뉴쏘렌토,as-0084615,30060.0,230706.0,"Front bumper:repair,coating",,"Front bumper:repair,coating"
1914,기아,쏘렌토,올뉴쏘렌토,as-0084497,29987.0,216586.0,"Front bumper:repair,coating",,"Front bumper:repair,coating"
1915,기아,쏘렌토,올뉴쏘렌토,as-0084447,29950.0,171118.0,Front bumper:coating,,Front bumper:coating
1916,기아,쏘렌토,올뉴쏘렌토,as-0084419,29932.0,207416.0,"Front bumper:repair,coating",,"Front bumper:repair,coating"
1917,기아,쏘렌토,올뉴쏘렌토,as-0084399,29921.0,220816.0,"Front bumper:repair,coating",,"Front bumper:repair,coating"
1918,기아,쏘렌토,올뉴쏘렌토,as-0084302,29857.0,190768.0,Front bumper:coating,,Front bumper:coating
1919,기아,쏘렌토,올뉴쏘렌토,as-0084014,29681.0,460526.0,"Front bumper:repair,coating",,"Front bumper:repair,coating"
1920,기아,쏘렌토,올뉴쏘렌토,as-0083680,29472.0,204170.0,Wheel:exchange;Wheel:exchange,Wheel:exchange;Wheel:exchange,
1921,기아,쏘렌토,올뉴쏘렌토,as-0083559,29406.0,269689.0,"Bumper:coating,exchange","Bumper:coating,exchange",
1922,기아,쏘렌토,올뉴쏘렌토,as-0083527,29388.0,574959.0,"Bumper:coating,exchange","Bumper:coating,exchange",
