category_id,cnt,maker,model,detail,model_detail,cost_wages,cost_repairparts,cost_total,part,repair
as-0080473,47295,현대,G80,G80(16),3.3 스포즈,487383.0,0,487383,Front bumper,"Front bumper:repair,coating"
as-0080480,47301,현대,쏘나타,쏘나타(19),L2.0 렌터카,757819.0,0,757819,Trunk lid,"Bumper:coating,exchange"
as-0080486,47305,기아,스포티지,스포티지(16),노블레스 스페셜 2.0,357693.0,0,357693,Front bumper,"Front bumper:repair,coating"
as-0080530,47339,현대,아반떼,아반떼AD(16),1.6 GDI 모던,623097.0,110909,734006,"Front fender,Front bumper",Front bumper:repair;Bumper:coating
as-0080535,47342,현대,아반떼,아반떼AD(16),1.6 GDI 모던,374849.0,0,374849,Head lights,"Bumper:coating,exchange"
as-0080548,47352,현대,쏘나타,쏘나타(19),G2.0,500937.0,0,500937,,Front bumper:repair;Bumper:coating
as-0080552,47355,현대,쏘나타,쏘나타(19),G2.0,492709.0,0,492709,Front bumper,"Bumper:coating,exchange"
as-0080566,47362,기아,모닝,올뉴모닝(15),럭셔리,316111.0,0,316111,,"Front bumper:repair,coating"
as-0080587,47378,현대,싼타페,싼타페TM(18),디젤2.0 인스퍼레이션,448397.0,0,448397,,Front bumper:repair;Bumper:coating
as-0080604,47391,현대,쏘나타,쏘나타(19),L2.0,651647.0,0,651647,Front bumper,Front bumper:repair;Bumper:coating
as-0080615,47396,현대,아반떼,아반떼MD(13),1.6 GDI,440936.0,0,440936,"Front fender,Front bumper,Bonnet","Front bumper:repair,coating"
as-0080627,47404,현대,아반떼,아반떼AD(16),1.6 GDI 모던,407039.0,0,407039,,"Bumper:coating,exchange"
as-0080631,47407,현대,스타렉스,그랜드스타렉스3밴(18),디젤 스마트,517217.0,0,517217,,"Front bumper:repair,coating"
as-0080632,47408,현대,EQ900,EQ900,3.8 GDI 프레스티지,31560.0,310000,341560,,Wheel:exchange
as-0080652,47417,기아,K9,K9(18),3.8GDi 플레티넘Ⅲ,735067.0,0,735067,Front bumper,Front bumper:repair;Bumper:coating
as-0080662,47423,현대,싼타페,싼타페TM(18),디젤2.2 인스퍼레이션,643027.0,0,643027,,"Front bumper:repair;Bumper:coating,exchange"
as-0080718,47466,기아,카니발,올뉴카니발(14),2.2디젤하이리무진(7인승),191500.0,172000,363500,,Wheel:exchange
as-0080734,47481,현대,G80,제네시스(14),G330 Premium,755259.0,0,755259,"Front door,Front fender,Front bumper","Bumper:coating,exchange"
as-0080737,47483,현대,G80,G80(16),3.3 프리미엄 럭셔리,461123.0,0,461123,,"Front bumper:repair,coating"
as-0080763,47504,현대,G80,G80(16),3.3 프리미엄 럭셔리,129870.0,437272,567142,Wheel,Wheel:exchange;Wheel:exchange
as-0080767,47507,현대,그랜저,HG그랜져,HG 300,390835.0,0,390835,,"Front bumper:repair,coating"
as-0080780,47515,기아,K7,올 뉴 K7,3.3 GDI 노블레스,420660.0,0,420660,,"Front bumper:repair,coating"
as-0080788,47521,현대,쏘나타,쏘나타(19),G2.0,348889.0,0,348889,,"Bumper:coating,exchange"
as-0080834,47556,현대,스타렉스,그랜드스타렉스 웨건,12인승(CVX),522309.0,0,522309,,"Bumper:coating,exchange"
as-0080836,47558,현대,그랜저,HG그랜져,HG 240 (15),387706.0,0,387706,,"Front bumper:repair,coating"
as-0080848,47565,현대,G80,G80(16),3.3 프리미엄 럭셔리,480163.0,0,480163,,"Front bumper:repair,coating"
as-0080851,47567,현대,G80,G80(16),3.3 스포즈,480163.0,0,480163,,"Front bumper:repair,coating"
as-0080864,47577,기아,모닝,올 뉴 모닝(11),럭셔리,536019.0,0,536019,Front bumper,"Bumper:coating,exchange"
as-0080892,47599,현대,아반떼,아반떼AD(16),1.6 GDI 모던,327527.0,0,327527,,Front bumper:repair;Bumper:coating
as-0080910,47612,현대,쏘나타,쏘나타(19),G2.0,686737.0,0,686737,"Front fender,Front bumper","Front bumper:repair,coating;Bumper:coating,exchange"
as-0080926,47627,기아,쏘렌토,올뉴쏘렌토,R2.0 디젤 노블레스,324579.0,0,324579,Front bumper,"Bumper:coating,exchange"
as-0080937,47636,현대,G80,제네시스(14),G330 Premium,367559.0,0,367559,,"Bumper:coating,exchange"
as-0080950,47644,현대,그랜저,HG그랜져,HG 240 (15),452504.0,0,452504,Front bumper,"Front bumper:repair,coating"
as-0080952,47645,현대,투싼,올뉴투싼(15),R2.0 프리미엄,378863.0,0,378863,,"Front bumper:repair,coating"
as-0080966,47655,현대,펠리세이드,팰리세이드(19),프레스티지 가솔린,128890.0,560000,688890,Wheel,Wheel:exchange
as-0080971,47658,기아,쏘렌토,올뉴쏘렌토,R2.0 디젤 노블레스,816212.0,0,816212,Head lights,Front bumper:repair;Bumper:coating
as-0080986,47666,현대,쏘나타,LF 쏘나타,2.0 LPI,285249.0,0,285249,,"Bumper:coating,exchange"
as-0081008,47681,현대,쏘나타,LF 쏘나타,2.0 CVVL PREMIUM,640617.0,0,640617,Front fender,Front bumper:repair;Bumper:coating
